seed,best_avg_reward,final_avg_reward,tail_iqm_avg_reward,convergence_episode,total_episodes
42,499.87,499.87,384.1510052910053,1417,1500
43,500.0,485.83,440.7971428571429,1496,1500
44,500.0,385.25,475.06021164021166,,1500
45,500.0,500.0,500.0,1101,1500
46,500.0,500.0,380.8657671957672,1422,1500
47,498.18,425.99,317.1534920634921,,1500
48,500.0,497.94,337.75396825396825,1370,1500
49,500.0,485.07,469.3974603174603,1485,1500
50,500.0,457.38,427.10386243386245,,1500
51,500.0,500.0,358.14142857142855,1438,1500
52,500.0,500.0,395.06820105820105,1454,1500
53,500.0,489.07,470.60994708994707,1405,1500
54,500.0,500.0,391.8103703703704,1403,1500
55,500.0,491.37,462.7959788359789,1471,1500
56,500.0,490.04,322.9844444444444,1417,1500
57,500.0,494.59,500.0,829,1500
58,500.0,500.0,499.861746031746,1170,1500
59,500.0,500.0,500.0,922,1500
60,477.72,316.08,322.6998412698413,,1500
61,500.0,500.0,489.0257671957672,1234,1500
62,500.0,496.3,496.9604232804233,1465,1500
63,479.01,259.62,359.2949206349207,,1500
64,500.0,500.0,500.0,1187,1500
65,485.13,217.4,318.6114285714286,,1500
66,500.0,500.0,500.0,785,1500
67,500.0,446.03,467.2115873015873,,1500
68,452.25,405.42,383.07259259259257,,1500
69,469.06,441.35,398.58227513227513,,1500
70,500.0,441.74,363.0024867724868,,1500
71,497.56,368.34,462.9888888888889,,1500
72,500.0,500.0,480.7399470899471,1475,1500
73,500.0,500.0,261.60492063492063,1415,1500
74,500.0,268.77,399.5868253968254,,1500
75,500.0,300.43,228.59291005291004,,1500
76,500.0,458.74,475.246455026455,,1500
77,500.0,468.2,487.37693121693127,,1500
78,495.69,137.68,355.70259259259257,,1500
79,500.0,371.15,406.4390476190476,,1500
80,496.57,486.21,266.6818518518519,1473,1500
81,490.68,490.68,237.08962962962966,1461,1500
82,500.0,500.0,454.1729100529101,1399,1500
83,500.0,497.68,490.8063492063492,1291,1500
84,500.0,458.45,464.56756613756613,,1500
85,500.0,353.75,454.08936507936505,,1500
86,500.0,500.0,401.1690476190476,1481,1500
87,500.0,500.0,498.2173015873016,1244,1500
88,500.0,78.2,383.029417989418,,1500
89,494.6,466.48,475.6811111111111,,1500
90,500.0,500.0,499.0768783068783,1104,1500
91,500.0,441.0,468.78322751322753,,1500
92,500.0,326.11,362.45746031746035,,1500
93,500.0,500.0,486.03169312169314,1251,1500
94,484.61,322.25,404.8416402116402,,1500
95,500.0,500.0,498.7219576719577,1425,1500
96,500.0,498.01,391.5048677248677,1378,1500
97,500.0,272.0,430.89349206349203,,1500
98,499.57,446.19,342.51005291005293,,1500
99,500.0,419.37,473.91031746031746,,1500
100,497.77,349.0,454.46761904761905,,1500
101,480.86,350.28,365.25968253968256,,1500
102,500.0,500.0,482.8908994708995,1463,1500
103,500.0,500.0,487.8168783068783,1231,1500
104,500.0,500.0,453.75962962962967,1325,1500
105,496.4,323.88,422.7217989417989,,1500
106,500.0,497.61,480.3626984126984,1282,1500
107,500.0,500.0,494.52068783068785,1108,1500
108,500.0,484.32,404.19317460317455,1459,1500
109,494.31,371.01,432.96767195767194,,1500
110,500.0,359.0,467.44423280423285,,1500
111,500.0,413.86,378.99825396825395,,1500
112,500.0,413.29,489.50952380952384,,1500
113,500.0,414.16,430.2543915343915,,1500
114,500.0,422.54,455.4403174603175,,1500
115,500.0,500.0,499.83962962962966,625,1500
116,499.95,450.6,360.836507936508,,1500
117,455.03,341.39,360.29682539682545,,1500
118,500.0,442.8,288.52174603174603,,1500
119,500.0,375.14,319.65121693121694,,1500
120,499.6,491.56,465.35306878306875,1470,1500
121,468.23,444.54,338.2114814814815,,1500
122,500.0,500.0,486.5448148148148,1247,1500
123,500.0,465.61,447.2119047619048,,1500
124,500.0,471.99,498.0067724867725,,1500
125,470.4,359.45,316.43973544973545,,1500
126,500.0,163.27,224.43185185185186,,1500
127,500.0,500.0,457.295291005291,1455,1500
128,500.0,485.44,476.02740740740745,1433,1500
129,494.61,455.42,391.02232804232807,,1500
130,500.0,497.16,498.86333333333334,1017,1500
131,500.0,448.28,437.82634920634916,,1500
132,500.0,430.16,409.8726984126984,,1500
133,494.47,494.47,440.94116402116407,1485,1500
134,500.0,433.38,368.6362962962963,,1500
135,499.94,377.04,418.75740740740736,,1500
136,500.0,382.14,378.59693121693124,,1500
137,500.0,500.0,499.8196296296297,984,1500
138,479.12,464.72,416.38904761904763,,1500
139,492.86,475.01,416.68301587301585,1459,1500
140,500.0,416.45,469.5788888888889,,1500
141,500.0,500.0,500.0,831,1500
