seed,best_avg_reward,final_avg_reward,tail_iqm_avg_reward,convergence_episode,total_episodes
42,500.0,474.16,479.4500529100529,,1500
43,500.0,476.56,489.5269312169312,1222,1500
44,493.13,301.71,245.65719576719576,,1500
45,500.0,446.36,388.863544973545,,1500
46,500.0,500.0,297.0347619047619,1422,1500
47,500.0,500.0,408.5732275132275,1326,1500
48,500.0,498.57,459.370582010582,1415,1500
49,500.0,493.22,492.70645502645505,1123,1500
50,423.24,177.53,100.15201058201058,,1500
51,500.0,493.29,479.97111111111116,1382,1500
52,500.0,500.0,455.122962962963,1337,1500
53,500.0,409.51,500.0,,1500
54,477.31,439.01,351.9457671957672,,1500
55,500.0,274.64,373.78555555555556,,1500
56,500.0,287.43,342.7331216931217,,1500
57,489.49,487.68,395.90608465608466,1484,1500
58,500.0,133.05,109.34222222222222,,1500
59,500.0,356.48,491.6316402116402,,1500
60,500.0,463.37,461.3176719576719,,1500
61,500.0,500.0,339.5211111111111,1450,1500
