episode,episode_steps,running_avg_100,avg_loss
0,19,19.0000,0.0
1,48,33.5000,0.0
2,49,38.6667,0.0
3,11,31.7500,0.0
4,16,28.6000,0.0
5,12,25.8333,0.0
6,19,24.8571,0.0
7,16,23.7500,0.0
8,31,24.5556,0.0
9,12,23.3000,0.0
10,11,22.1818,0.0
11,19,21.9167,0.5522742345929146
12,18,21.6154,0.48866939379109275
13,13,21.0000,0.42093155017265904
14,18,20.8000,0.36240381167994606
15,17,20.5625,0.3090202492826125
16,19,20.4706,0.26483273270883056
17,15,20.1667,0.22931957840919495
18,27,20.5263,0.19326822018181836
19,9,19.9500,0.16920549174149832
20,10,19.4762,0.15828422755002974
21,19,19.4545,0.14693595861133776
22,17,19.3478,0.13443023492308223
23,16,19.2083,0.13020762195810676
24,41,20.0800,0.12838962474247304
25,13,19.8077,0.12018183962656902
26,19,19.7778,0.11594694264625248
27,19,19.7500,0.11326313567788977
28,10,19.4138,0.11645761579275131
29,15,19.2667,0.11608743717273076
30,14,19.0968,0.11857735951031957
31,13,18.9062,0.10970987838048202
32,13,18.7273,0.11131960440140504
33,17,18.6765,0.1195571961648324
34,14,18.5429,0.12224033953888076
35,9,18.2778,0.12368426223595937
36,16,18.2162,0.14584210701286793
37,18,18.2105,0.14162876084446907
38,11,18.0256,0.14389449493451553
39,18,18.0250,0.14049910878141722
40,12,17.8780,0.16507484267155328
41,21,17.9524,0.15753286296413058
42,14,17.8605,0.16645777544804982
43,13,17.7500,0.1752590319285026
44,18,17.7556,0.18250752861301103
45,15,17.6957,0.18433615068594614
46,11,17.5532,0.17655425857413898
47,24,17.6875,0.19131706158320108
48,11,17.5510,0.2109344560991634
49,23,17.6600,0.18781229886023895
50,20,17.7059,0.21044342294335366
51,13,17.6154,0.23418238529792199
52,11,17.4906,0.20696590840816498
53,12,17.3889,0.21347247809171677
54,22,17.4727,0.23459102484312924
55,17,17.4643,0.2439856257508783
56,11,17.3509,0.2293983752077276
57,19,17.3793,0.24859626512778432
58,15,17.3390,0.2634274353583654
59,22,17.4167,0.25998799164186825
60,12,17.3279,0.2632330134510994
61,13,17.2581,0.2590791823772284
62,9,17.1270,0.2880178342262904
63,10,17.0156,0.28769091367721555
64,14,16.9692,0.2701792227370398
65,10,16.8636,0.2608937740325928
66,13,16.8060,0.2853281864753136
67,16,16.7941,0.28711472172290087
68,13,16.7391,0.30745650598636043
69,24,16.8429,0.29728739832838375
70,12,16.7746,0.29663842792312306
71,11,16.6944,0.3069025386463512
72,13,16.6438,0.29190191397300136
73,16,16.6351,0.31306974589824677
74,17,16.6400,0.3242255501887378
75,14,16.6053,0.29525160576616016
76,9,16.5065,0.31832126279671985
77,16,16.5000,0.33363699819892645
78,11,16.4304,0.31535523452542047
79,15,16.4125,0.34109118580818176
80,18,16.4321,0.3197261972559823
81,13,16.3902,0.30995674660572636
82,24,16.4819,0.3205044064670801
83,13,16.4405,0.31040964218286365
84,12,16.3882,0.3499969132244587
85,14,16.3605,0.3677771942956107
86,15,16.3448,0.37595905661582946
87,14,16.3182,0.35463125365121023
88,10,16.2472,0.36888454854488373
89,10,16.1778,0.3548634484410286
90,12,16.1319,0.41021264841159183
91,12,16.0870,0.40554453680912655
92,20,16.1290,0.36239918023347856
93,25,16.2234,0.3713183319568634
94,15,16.2105,0.3889493236939112
95,15,16.1979,0.3492667436599731
96,15,16.1856,0.4057448168595632
97,11,16.1327,0.36253237995234405
98,24,16.2121,0.3933303877711296
99,14,16.1900,0.41164688978876385
100,17,16.1700,0.3914657182553235
101,13,15.8200,0.4019415435882715
102,12,15.4500,0.48964694142341614
103,10,15.4400,0.4128338426351547
104,10,15.3800,0.44758422374725343
105,17,15.4300,0.4766807521090788
106,17,15.4100,0.49819094819181103
107,14,15.3900,0.5143546376909528
108,8,15.1600,0.519559945911169
109,33,15.3700,0.4658826074816964
110,12,15.3800,0.4275750704109669
111,12,15.3100,0.4357974131902059
112,11,15.2400,0.5426654057069258
113,12,15.2300,0.5101550618807474
114,12,15.1700,0.5257108906904856
115,14,15.1400,0.507985634463174
116,14,15.0900,0.6255704930850438
117,15,15.0900,0.4935043752193451
118,9,14.9100,0.5822791986995273
119,10,14.9200,0.6291124641895294
120,9,14.9100,0.6255588498380449
121,12,14.8400,0.5439884091416994
122,10,14.7700,0.6564271733164787
123,9,14.7000,0.5797074238459269
124,13,14.4200,0.6349191780273731
125,18,14.4700,0.6906018637948566
126,12,14.4000,0.7271652271350225
127,9,14.3000,0.6471893787384033
128,11,14.3100,0.6990464383905585
129,11,14.2700,0.5744313895702362
130,21,14.3400,0.623705906527383
131,13,14.3400,0.7474929575736706
132,10,14.3100,0.6872518748044968
133,9,14.2300,0.7047966983583238
134,12,14.2100,0.6577864438295364
135,10,14.2200,0.7871308296918869
136,13,14.1900,0.7158925258196317
137,9,14.1000,0.7563398712211185
138,10,14.0900,0.7500084161758422
139,10,14.0100,0.7463641464710236
140,9,13.9800,0.8015166852209303
141,9,13.8600,0.8013506134351095
142,10,13.8200,0.7489356517791748
143,11,13.8000,0.809504197402434
144,12,13.7400,0.8182005931933721
145,11,13.7000,0.8125905611298301
146,9,13.6800,0.7991182208061218
147,12,13.5600,0.828821487724781
148,10,13.5500,0.7802778154611587
149,10,13.4200,0.7344145268201828
150,12,13.3400,0.7480497558911642
151,17,13.3800,0.8006418855751262
152,17,13.4400,0.8845902891720042
153,11,13.4300,0.9561990662054582
154,11,13.3200,0.8147892735221169
155,9,13.2400,0.9816703332795037
156,13,13.2600,0.8710238979412959
157,9,13.1600,0.8951479196548462
158,12,13.1300,0.9060977300008138
159,11,13.0200,0.9282172864133661
160,16,13.0600,0.9087926130741835
161,12,13.0500,0.9636707603931427
162,11,13.0700,0.9769041971726851
163,12,13.0900,0.9349722464879354
164,9,13.0400,0.9732129507594638
165,11,13.0500,0.8942360932176764
166,10,13.0200,0.8119849771261215
167,12,12.9800,0.9291321337223053
168,10,12.9500,0.9193130493164062
169,15,12.8600,0.9240757465362549
170,14,12.8800,0.9451524700437274
171,10,12.8700,1.0980895340442658
172,11,12.8500,1.0377981066703796
173,13,12.8200,1.0957114558953505
174,10,12.7500,0.9903406262397766
175,13,12.7400,0.8802351561876444
176,14,12.7900,0.9868151460375104
177,13,12.7600,0.8995886995242193
178,11,12.7600,1.0354631001299077
179,12,12.7300,0.997118666768074
180,16,12.7100,1.0342163667082787
181,11,12.6900,1.1677234877239575
182,15,12.6000,1.03518355290095
183,11,12.5800,1.1162232214754277
184,13,12.5900,1.0849141065890973
185,15,12.6000,1.0021438082059224
186,13,12.5800,1.105036240357619
187,11,12.5500,1.1369432481852444
188,16,12.6100,1.0271002650260925
189,16,12.6700,1.1368257701396942
190,13,12.6800,0.9886184747402484
191,12,12.6800,1.027585248152415
192,13,12.6100,1.0308005993182843
193,11,12.4700,1.0718025348403237
194,17,12.4900,1.2353600333718693
195,19,12.5300,1.1237578392028809
196,11,12.4900,0.9714667797088623
197,12,12.5000,1.0684378668665886
198,15,12.4100,1.0219508012135823
199,17,12.4400,1.1605895652490503
200,13,12.4000,1.1723808004305913
201,15,12.4200,1.1982264479001363
202,10,12.4000,1.1314173758029937
203,14,12.4400,1.117639354297093
204,17,12.5100,1.2423498911016129
205,25,12.5900,1.181235544681549
206,16,12.5800,1.28720398619771
207,16,12.6000,1.2318208329379559
208,14,12.6600,1.1837801379816872
209,17,12.5000,1.1322044204263126
210,11,12.4900,1.2419252395629883
211,12,12.4900,1.2902672191460927
212,16,12.5400,1.2058982849121094
213,18,12.6000,1.250497708717982
214,13,12.6100,1.1776680717101464
215,20,12.6700,1.227875679731369
216,23,12.7600,1.2418359310730644
